SOCCode	Element_ID	Element_Name	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
00-0000	2.C.3.e	Mechanical	17.589747889		All occ	93153.564535	2	All occupations	5	0
00-0000	2.C.3.e	Mechanical	9.7030121826		All occ	62618.82312	3	All occupations	5	0
00-0000	2.C.4.a	Mathematics	54.953269144		All occ	19846.113393	0	All occupations	1	0
00-0000	2.C.4.a	Mathematics	41.863718235		All occ	20542.607797	1	All occupations	1	0
00-0000	2.C.4.a	Mathematics	36.58859262		All occ	20479.152244	2	All occupations	1	0
00-0000	2.C.4.a	Mathematics	21.394627821		All occ	21383.195401	3	All occupations	1	0
00-0000	2.C.4.a	Mathematics	60.450362989		All occ	37201.453913	0	All occupations	2	0
00-0000	2.C.4.a	Mathematics	50.625228082		All occ	29862.092837	1	All occupations	2	0
00-0000	2.C.4.a	Mathematics	42.222247142		All occ	27843.915278	2	All occupations	2	0
00-0000	2.C.4.a	Mathematics	28.868904273		All occ	26517.274366	3	All occupations	2	0
00-0000	2.C.4.a	Mathematics	65.939195308		All occ	46346.4256	0	All occupations	3	0
